areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDailyNsoDeathsByDeathDate,newPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2020-06-11,5179,446,1009,121,
K02000001,United Kingdom,overview,2020-06-10,5475,512,1191,166,
K02000001,United Kingdom,overview,2020-06-09,5736,492,1155,137,
K02000001,United Kingdom,overview,2020-06-08,5931,412,1096,161,
K02000001,United Kingdom,overview,2020-06-07,5944,408,722,163,
K02000001,United Kingdom,overview,2020-06-06,6149,407,808,151,
K02000001,United Kingdom,overview,2020-06-05,6379,475,1128,184,
K02000001,United Kingdom,overview,2020-06-04,6580,565,1251,183,
K02000001,United Kingdom,overview,2020-06-03,6815,633,1357,203,
K02000001,United Kingdom,overview,2020-06-02,7087,668,1487,233,
K02000001,United Kingdom,overview,2020-06-01,7248,604,1439,199,
K02000001,United Kingdom,overview,2020-05-31,7238,528,1081,195,
K02000001,United Kingdom,overview,2020-05-30,7268,568,1118,219,
K02000001,United Kingdom,overview,2020-05-29,7586,614,1528,254,
K02000001,United Kingdom,overview,2020-05-28,7907,702,1755,288,
K02000001,United Kingdom,overview,2020-05-27,8220,712,1826,282,
K02000001,United Kingdom,overview,2020-05-26,8732,698,2055,300,
K02000001,United Kingdom,overview,2020-05-25,8836,602,1616,279,
K02000001,United Kingdom,overview,2020-05-24,8814,587,1365,281,
K02000001,United Kingdom,overview,2020-05-23,8814,643,1526,284,
K02000001,United Kingdom,overview,2020-05-22,9184,739,2053,300,
K02000001,United Kingdom,overview,2020-05-21,9293,841,2566,342,
K02000001,United Kingdom,overview,2020-05-20,9563,851,2702,353,
K02000001,United Kingdom,overview,2020-05-19,10013,881,3052,372,
K02000001,United Kingdom,overview,2020-05-18,10231,849,2574,407,
K02000001,United Kingdom,overview,2020-05-17,10199,792,1834,377,
K02000001,United Kingdom,overview,2020-05-16,10238,813,2075,419,
K02000001,United Kingdom,overview,2020-05-15,10691,871,2525,421,
K02000001,United Kingdom,overview,2020-05-14,10921,909,2623,465,
K02000001,United Kingdom,overview,2020-05-13,11342,966,3309,454,
K02000001,United Kingdom,overview,2020-05-12,11591,983,3388,441,
K02000001,United Kingdom,overview,2020-05-11,11967,1029,3575,428,
K02000001,United Kingdom,overview,2020-05-10,11727,916,2322,494,
K02000001,United Kingdom,overview,2020-05-09,12015,944,2163,539,
K02000001,United Kingdom,overview,2020-05-08,12053,910,3062,569,
K02000001,United Kingdom,overview,2020-05-07,12626,1165,3773,631,
K02000001,United Kingdom,overview,2020-05-06,13148,1206,3821,627,
K02000001,United Kingdom,overview,2020-05-05,13723,1146,3669,642,
K02000001,United Kingdom,overview,2020-05-04,14097,1249,3388,676,
K02000001,United Kingdom,overview,2020-05-03,14188,1188,2987,662,
K02000001,United Kingdom,overview,2020-05-02,14380,1180,3232,705,
K02000001,United Kingdom,overview,2020-05-01,14723,1263,4732,786,
K02000001,United Kingdom,overview,2020-04-30,15164,1441,4957,780,
K02000001,United Kingdom,overview,2020-04-29,15521,1488,5426,817,
K02000001,United Kingdom,overview,2020-04-28,15877,1518,4714,801,
K02000001,United Kingdom,overview,2020-04-27,16662,1538,4701,866,
K02000001,United Kingdom,overview,2020-04-26,16555,1355,3469,894,
K02000001,United Kingdom,overview,2020-04-25,16604,1254,3745,919,
K02000001,United Kingdom,overview,2020-04-24,17063,1526,4945,1005,
K02000001,United Kingdom,overview,2020-04-23,17867,1513,5143,1038,
K02000001,United Kingdom,overview,2020-04-22,18533,1529,5483,1102,
K02000001,United Kingdom,overview,2020-04-21,19139,1712,4764,1085,
K02000001,United Kingdom,overview,2020-04-20,19331,1734,4415,1160,
K02000001,United Kingdom,overview,2020-04-19,19574,1657,3852,1122,
K02000001,United Kingdom,overview,2020-04-18,19456,1629,4702,1189,
K02000001,United Kingdom,overview,2020-04-17,19330,1967,4936,1272,
K02000001,United Kingdom,overview,2020-04-16,20389,2012,5276,1322,
K02000001,United Kingdom,overview,2020-04-15,20582,1880,5045,1276,
K02000001,United Kingdom,overview,2020-04-14,21281,2088,4297,1254,
K02000001,United Kingdom,overview,2020-04-13,21308,2162,4167,1232,
K02000001,United Kingdom,overview,2020-04-12,21687,2066,3480,1378,
K02000001,United Kingdom,overview,2020-04-11,21254,2163,3554,1365,
K02000001,United Kingdom,overview,2020-04-10,21280,2463,4311,1319,
K02000001,United Kingdom,overview,2020-04-09,21005,2629,4851,1375,
K02000001,United Kingdom,overview,2020-04-08,20740,2967,5118,1461,
K02000001,United Kingdom,overview,2020-04-07,20234,3150,5430,1293,
K02000001,United Kingdom,overview,2020-04-06,19493,3046,5259,1170,
K02000001,United Kingdom,overview,2020-04-05,18855,2917,3583,1220,
K02000001,United Kingdom,overview,2020-04-04,17502,2922,4009,1147,
K02000001,United Kingdom,overview,2020-04-03,15546,2930,4891,1061,
K02000001,United Kingdom,overview,2020-04-02,13875,3286,4862,1007,
K02000001,United Kingdom,overview,2020-04-01,13637,3567,4930,924,
K02000001,United Kingdom,overview,2020-03-31,12597,2832,4514,831,
K02000001,United Kingdom,overview,2020-03-30,11093,3191,4260,711,
K02000001,United Kingdom,overview,2020-03-29,9525,2489,2853,586,
K02000001,United Kingdom,overview,2020-03-28,8278,2192,2816,516,
K02000001,United Kingdom,overview,2020-03-27,7267,2227,3184,463,
K02000001,United Kingdom,overview,2020-03-26,,1927,3083,413,
K02000001,United Kingdom,overview,2020-03-25,,2085,2687,337,
K02000001,United Kingdom,overview,2020-03-24,,1717,2372,263,
K02000001,United Kingdom,overview,2020-03-23,,1273,2319,208,
K02000001,United Kingdom,overview,2020-03-22,,,1374,183,
K02000001,United Kingdom,overview,2020-03-21,,,1192,144,
K02000001,United Kingdom,overview,2020-03-20,,,1261,118,
K02000001,United Kingdom,overview,2020-03-19,,,1050,79,
K02000001,United Kingdom,overview,2020-03-18,,,998,73,
K02000001,United Kingdom,overview,2020-03-17,,,768,58,
K02000001,United Kingdom,overview,2020-03-16,,,609,51,
K02000001,United Kingdom,overview,2020-03-15,,,442,31,
K02000001,United Kingdom,overview,2020-03-14,,,363,21,
K02000001,United Kingdom,overview,2020-03-13,,,479,16,
K02000001,United Kingdom,overview,2020-03-12,,,482,13,
K02000001,United Kingdom,overview,2020-03-11,,,404,7,
K02000001,United Kingdom,overview,2020-03-10,,,266,3,
K02000001,United Kingdom,overview,2020-03-09,,,147,5,
K02000001,United Kingdom,overview,2020-03-08,,,57,2,
K02000001,United Kingdom,overview,2020-03-07,,,67,0,
K02000001,United Kingdom,overview,2020-03-06,,,81,2,
K02000001,United Kingdom,overview,2020-03-05,,,50,2,
K02000001,United Kingdom,overview,2020-03-04,,,56,1,
K02000001,United Kingdom,overview,2020-03-03,,,56,0,
K02000001,United Kingdom,overview,2020-03-02,,,39,1,
K02000001,United Kingdom,overview,2020-03-01,,,22,0,
K02000001,United Kingdom,overview,2020-02-29,,,5,0,
K02000001,United Kingdom,overview,2020-02-28,,,12,0,
K02000001,United Kingdom,overview,2020-02-27,,,8,0,
K02000001,United Kingdom,overview,2020-02-26,,,4,0,
K02000001,United Kingdom,overview,2020-02-25,,,5,0,
K02000001,United Kingdom,overview,2020-02-24,,,2,0,
K02000001,United Kingdom,overview,2020-02-23,,,1,0,
K02000001,United Kingdom,overview,2020-02-22,,,0,1,
K02000001,United Kingdom,overview,2020-02-21,,,1,0,
K02000001,United Kingdom,overview,2020-02-20,,,0,0,
K02000001,United Kingdom,overview,2020-02-19,,,0,0,
K02000001,United Kingdom,overview,2020-02-18,,,0,0,
K02000001,United Kingdom,overview,2020-02-17,,,0,0,
K02000001,United Kingdom,overview,2020-02-16,,,0,0,
K02000001,United Kingdom,overview,2020-02-15,,,0,0,
K02000001,United Kingdom,overview,2020-02-14,,,0,0,
K02000001,United Kingdom,overview,2020-02-13,,,0,0,
K02000001,United Kingdom,overview,2020-02-12,,,0,0,
K02000001,United Kingdom,overview,2020-02-11,,,1,0,
K02000001,United Kingdom,overview,2020-02-10,,,0,0,
K02000001,United Kingdom,overview,2020-02-09,,,1,0,
K02000001,United Kingdom,overview,2020-02-08,,,4,0,
K02000001,United Kingdom,overview,2020-02-07,,,0,0,
K02000001,United Kingdom,overview,2020-02-06,,,0,0,
K02000001,United Kingdom,overview,2020-02-05,,,1,0,
K02000001,United Kingdom,overview,2020-02-04,,,0,0,
K02000001,United Kingdom,overview,2020-02-03,,,0,0,
K02000001,United Kingdom,overview,2020-02-02,,,0,1,
K02000001,United Kingdom,overview,2020-02-01,,,0,0,
K02000001,United Kingdom,overview,2020-01-31,,,0,0,
K02000001,United Kingdom,overview,2020-01-30,,,2,1,
